Company_Name,DIVISION,Item_Code,Item_Name,Packing,Expiry,BatchNo,SaleRate,MRP,SaleScm1,SaleScm2,BATCHQTY,GSTPER,Item_Date,Date,Time
,00,,,,,,0,0,0,0,0,0.00,30-Aug-2014,23-Jan-2021,12:30:02
ALEMBIC,A10,111,"BRO ZEET(NEW ) SYRUP",100ML,09/22,2008001336,72.64,101.7,9,1,200,12.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A5,11101,"OSTEOFIT - C CAP",10`S,02/22,BJ0090006,125.86,176.2,0,0,10,12.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A10,1116,"ALTHROCIN - 250",10`S,11/22,2008001542,33.71,47.2,0,0,190,12.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A10,1117,"ALTHROCIN - 500",10`S,09/22,2008001386,65.71,92,0,0,203,12.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A10,1118,"ALTHROCIN  DROP",10ML,10/22,2008001456,27.75,38.85,0,0,20,12.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A10,1119,"ALTHROCIN   SYP.",60ML,08/22,2008001170,35.36,49.5,0,0,69,12.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A4,1140,"EPHEDREX SYP.",100ML,03/23,2008000649,63.22,88.5,11,1,28,12.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A4,115,"AZITHRAL - 250 *",10`S,09/22,2008001385,84.16,117.82,0,0,278,12.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A7,1150,"GLYCODIN SYP. 100 ML",100ML,10/19,1608001150,64.39,83.65,5,1,0,12.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A7,1152,"HERMIN INJ",200ML,06/22,EK0734044,464.23,609.3,4,1,65,5.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A7,1153,"HERMIN FORT CAPS",10`S,10/22,BL0K048004,78,109.2,0,0,2,12.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A14,1156,"MAGADOL TAB",10`S,09/23,2008001263,42.93,60.1,9,1,116,12.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A14,1157,"MAGADOL SYRUP",60ML,,,26.25,34.1,9,1,0,12.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A4,116,"AZITHRAL - 200 LIQ *",15ML,08/22,FA0801002,36.73,51.42,0,0,271,12.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A7,1167,"PROTINULES CHOCLATE",200GM,03/22,BO0356036,280,413,9,1,13,18.00,30-Jun-2011,23-Jan-2021,12:30:02
ALEMBIC,A4,117,"AZITHRAL -100 LIQ",15ML,11/22,2008001556,30.22,42.3,0,0,129,12.00,30-Jun-2011,23-Jan-2021,12:30:02
